Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
Virat Kohli,2008-2025,261,254,40,8447,113*,39.47,6384,132.31,8,61,10,744,285,
,,,,,,,,,,,,,,,
Rohit Sharma,2008-2025,266,261,30,6868,109*,29.73,5207,131.89,2,45,18,617,297,
,,,,,,,,,,,,,,,
Shikhar Dhawan,2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152,
,,,,,,,,,,,,,,,
David Warner,2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,
,,,,,,,,,,,,,,,
Suresh Raina,2008-2021,204,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203,
,,,,,,,,,,,,,,,
MS Dhoni,2008-2025,272,239,99,5394,84*,38.52,3914,137.81,0,24,6,375,261,
,,,,,,,,,,,,,,,
AB de Villiers,2008-2021,183,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251,
,,,,,,,,,,,,,,,
KL Rahul,2013-2025,141,132,22,5054,132*,45.94,3733,135.38,4,40,4,429,203,
,,,,,,,,,,,,,,,
Chris Gayle,2009-2021,141,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,
,,,,,,,,,,,,,,,
Robin Uthappa,2008-2022,204,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182,
,,,,,,,,,,,,,,,
Ajinkya Rahane,2008-2025,193,180,18,4939,105*,30.48,3960,124.72,2,33,13,506,119,
,,,,,,,,,,,,,,,
Dinesh Karthik,2008-2024,257,234,50,4842,97*,26.31,3577,135.36,0,22,18,466,161,
,,,,,,,,,,,,,,,
Faf du Plessis,2012-2025,149,143,11,4736,96,35.87,3475,136.28,0,39,7,436,173,
,,,,,,,,,,,,,,,
Sanju Samson,2013-2025,173,170,20,4643,119,30.95,3336,139.17,3,26,11,375,216,
,,,,,,,,,,,,,,,
Ambati Rayudu,2010-2023,203,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173,
,,,,,,,,,,,,,,,
Gautam Gambhir,2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59,
,,,,,,,,,,,,,,,
Suryakumar Yadav,2012-2025,160,145,26,4021,103*,33.78,2725,147.55,2,27,10,427,153,
,,,,,,,,,,,,,,,
Jos Buttler,2016-2025,116,115,16,3988,124,40.28,2669,149.41,7,23,8,398,178,
,,,,,,,,,,,,,,,
Shane Watson,2008-2020,144,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190,
,,,,,,,,,,,,,,,
Manish Pandey,2008-2025,171,160,27,3869,114*,29.09,3193,121.17,1,22,14,337,111,
,,,,,,,,,,,,,,,
Shubman Gill,2018-2025,112,109,16,3605,129,38.76,2619,137.64,4,24,4,348,108,
,,,,,,,,,,,,,,,
Syres Iyer,2015-2025,125,125,21,3487,97*,33.52,2652,131.48,0,25,7,294,138,
,,,,,,,,,,,,,,,
Kieron Pollard,2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223,
,,,,,,,,,,,,,,,
Rishabh Pant,2016-2025,121,119,17,3394,128*,33.27,2317,146.48,1,19,6,305,159,
,,,,,,,,,,,,,,,
Quinton de Kock,2013-2025,114,114,7,3300,140*,30.84,2456,134.36,2,24,4,325,134,
,,,,,,,,,,,,,,,
Yusf Pathan,2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158,
,,,,,,,,,,,,,,,
Ravindra Jadeja,2008-2025,248,194,79,3142,62*,27.32,2424,129.62,0,4,9,229,113,
,,,,,,,,,,,,,,,
David Miller,2012-2025,140,134,49,3066,101*,36.07,2212,138.6,1,13,4,220,137,
,,,,,,,,,,,,,,,
Wridhman Saha,2008-2024,169,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87,
,,,,,,,,,,,,,,,
Brendum McCullum,2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,
,,,,,,,,,,,,,,,
Partiv Patel,2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49,
,,,,,,,,,,,,,,,
Nithish Rana,2016-2025,117,111,10,2844,87,28.15,2075,137.06,0,20,7,259,141,
,,,,,,,,,,,,,,,
