Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
MS Dhoni,2008-2025,75,65,27,1547,75*,40.71,1072,144.3,0,7,2,99,78,M. A. Chidambaram Stadium
Suresh Raina,2008-2019,56,55,5,1498,100*,29.96,1107,135.32,1,8,1,140,49,M. A. Chidambaram Stadium
Murali Vijay,2010-2019,30,30,2,928,127,33.14,693,133.91,2,3,1,82,40,M. A. Chidambaram Stadium
MEK Hussey,2008-2013,22,21,3,848,95,47.11,674,125.81,0,7,0,90,14,M. A. Chidambaram Stadium
Ruthuraj Gaikwad,2023-2025,18,18,3,764,108*,50.93,539,141.74,1,6,1,79,22,M. A. Chidambaram Stadium
Faf du Plessis,2012-2024,20,18,2,588,73,36.75,486,120.98,0,4,0,43,19,M. A. Chidambaram Stadium
Ravindra Jadeja,2011-2025,55,41,10,518,38*,16.7,430,120.46,0,0,3,31,18,M. A. Chidambaram Stadium
Shivam Dube,2019-2025,22,21,5,496,66,31,323,153.56,0,2,1,26,38,M. A. Chidambaram Stadium
JA Morkel,2008-2015,31,26,9,486,73*,28.58,330,147.27,0,3,2,32,26,M. A. Chidambaram Stadium
S Badrinath,2008-2013,39,26,8,438,64,24.33,375,116.8,0,3,1,45,7,M. A. Chidambaram Stadium
SR Watson,2010-2019,13,13,0,433,101,33.3,296,146.28,1,2,2,40,23,M. A. Chidambaram Stadium
Dewon Conway,2023-2025,10,10,2,415,92*,51.87,318,130.5,0,3,0,54,4,M. A. Chidambaram Stadium
Virat Kohli,2008-2025,14,14,0,414,58,29.57,375,110.4,0,2,0,29,10,M. A. Chidambaram Stadium
BB McCullum,2008-2015,12,12,1,378,100*,34.36,271,139.48,1,2,1,39,20,M. A. Chidambaram Stadium
Rohit Sharma,2008-2025,16,16,1,364,67,24.26,298,122.14,0,2,3,28,15,M. A. Chidambaram Stadium
AB de Villiers,2008-2021,11,11,3,353,76*,44.12,216,163.42,0,3,0,37,9,M. A. Chidambaram Stadium
Ambati Rayudu,2010-2023,22,21,6,333,42*,22.2,310,107.41,0,0,2,19,14,M. A. Chidambaram Stadium
Suryakumar Yadav,2015-2025,11,10,1,329,71*,36.55,255,129.01,0,2,0,37,8,M. A. Chidambaram Stadium
DJ Bravo,2008-2019,37,26,11,325,33*,21.66,237,137.13,0,0,0,20,14,M. A. Chidambaram Stadium
DA Warner,2010-2023,13,13,0,322,57,24.76,289,111.41,0,3,2,21,10,M. A. Chidambaram Stadium
S Dhawan,2008-2023,10,10,2,299,63*,37.37,250,119.6,0,1,0,35,3,M. A. Chidambaram Stadium
ML Hayden,2008-2010,9,9,1,283,81,35.37,203,139.4,0,2,1,29,12,M. A. Chidambaram Stadium
PA Patel,2008-2019,11,11,0,276,57,25.09,270,102.22,0,2,0,31,4,M. A. Chidambaram Stadium
Ajinkya Rahane,2011-2025,19,17,1,271,31,16.93,226,119.91,0,0,1,21,7,M. A. Chidambaram Stadium
Manish Pandey,2010-2023,10,10,2,265,83*,33.12,218,121.55,0,2,0,18,11,M. A. Chidambaram Stadium
JM Bairstow,2019-2024,7,7,1,257,63*,42.83,181,141.98,0,2,1,22,15,M. A. Chidambaram Stadium
Rachin Ravindra,2024-2025,8,8,1,238,65*,34,152,156.57,0,1,0,20,12,M. A. Chidambaram Stadium
KL Rahul,2015-2025,7,7,1,237,77,39.5,196,120.91,0,3,0,16,8,M. A. Chidambaram Stadium
CH Gayle,2010-2021,8,8,1,231,89,33,158,146.2,0,2,1,20,14,M. A. Chidambaram Stadium
Nithish Rana,2018-2023,6,6,1,228,80,45.6,175,130.28,0,3,1,25,8,M. A. Chidambaram Stadium
JH Kallis,2008-2013,6,6,0,225,69,37.5,196,114.79,0,3,0,23,3,M. A. Chidambaram Stadium
MS Bisla,2010-2013,4,4,0,215,92,53.75,147,146.25,0,2,0,26,7,M. A. Chidambaram Stadium
Andre Russell,2012-2025,11,9,3,215,88*,35.83,147,146.25,0,2,0,15,16,M. A. Chidambaram Stadium
Rahul Tripathi,2019-2025,10,10,0,212,53,21.2,155,136.77,0,1,0,24,6,M. A. Chidambaram Stadium
Vijay Shankar,2019-2025,10,9,1,200,69*,25,161,124.22,0,1,0,9,8,M. A. Chidambaram Stadium
WP Saha,2008-2024,15,12,2,193,46*,19.3,172,112.2,0,0,0,17,8,M. A. Chidambaram Stadium
MA Agarwal,2011-2023,10,10,0,191,45,19.1,159,120.12,0,0,1,22,8,M. A. Chidambaram Stadium
Dinrsh Karthik,2008-2024,11,9,3,188,38*,31.33,158,118.98,0,0,0,19,5,M. A. Chidambaram Stadium
G Gambhir,2008-2015,7,7,1,187,63,31.16,160,116.87,0,3,1,19,2,M. A. Chidambaram Stadium
Marcus Stoinis,2021-2024,5,4,2,187,124*,93.5,110,170,1,0,0,18,8,M. A. Chidambaram Stadium
Robin Uthappa,2008-2019,8,8,0,177,43,22.12,133,133.08,0,0,1,21,7,M. A. Chidambaram Stadium
Gleen Maxwell,2021-2024,4,4,0,176,78,44,119,147.89,0,2,1,17,8,M. A. Chidambaram Stadium
SE Marsh,2008-2015,4,4,0,173,73,43.25,121,142.97,0,2,0,16,7,M. A. Chidambaram Stadium
Ishan Kishan,2019-2025,9,9,0,167,44,18.55,174,95.97,0,0,0,13,4,M. A. Chidambaram Stadium
Sam Curran,2019-2025,7,7,2,164,88,32.8,120,136.66,0,1,0,14,5,M. A. Chidambaram Stadium
Syres Iyer,2015-2025,5,5,1,163,72,40.75,114,142.98,0,1,0,14,5,M. A. Chidambaram Stadium
Steven Smith,2012-2021,6,6,2,161,39*,40.25,127,126.77,0,0,0,12,4,M. A. Chidambaram Stadium
Daryl Mitchell,2024-2024,7,7,2,157,52,31.4,113,138.93,0,1,0,15,4,M. A. Chidambaram Stadium
DR Smith,2013-2015,8,8,0,148,34,18.5,144,102.77,0,0,1,21,4,M. A. Chidambaram Stadium
R Dravid,2008-2013,5,4,0,145,66,36.25,127,114.17,0,1,0,18,1,M. A. Chidambaram Stadium
NV Ojha,2010-2015,5,5,1,144,94*,36,96,150,0,1,0,11,10,M. A. Chidambaram Stadium
Kiran Pollard,2010-2021,12,10,4,144,57*,24,122,118.03,0,1,0,9,9,M. A. Chidambaram Stadium
IK Pathan,2008-2013,5,5,2,140,44*,46.66,106,132.07,0,0,0,11,6,M. A. Chidambaram Stadium
Shubman Gill,2019-2024,6,6,0,128,42,21.33,101,126.73,0,0,0,12,6,M. A. Chidambaram Stadium
Devdutt Padikkal,2021-2025,5,5,0,114,38,22.8,100,114,0,0,0,11,2,M. A. Chidambaram Stadium
CL White,2010-2013,4,4,1,113,77,37.66,87,129.88,0,1,0,12,3,M. A. Chidambaram Stadium
Henrich Klaasen,2023-2025,5,5,0,110,50,22,96,114.58,0,1,0,3,5,M. A. Chidambaram Stadium
Prabhsimran Singh,2023-2025,3,3,0,109,54,36.33,70,155.71,0,1,0,10,6,M. A. Chidambaram Stadium
Kane Williamson,2015-2021,3,3,3,108,66*,-,88,122.72,0,1,0,9,1,M. A. Chidambaram Stadium
David Miller,2012-2024,6,6,1,104,51*,20.8,77,135.06,0,1,0,11,2,M. A. Chidambaram Stadium
Hardik Pandya,2015-2023,9,9,3,101,23*,16.83,81,124.69,0,0,1,8,4,M. A. Chidambaram Stadium
Sachin Tendulkar,2010-2013,4,4,1,101,45,33.66,75,134.66,0,0,1,14,1,M. A. Chidambaram Stadium
Harbhajan Singh,2008-2021,17,7,3,100,33,25,72,138.88,0,0,0,5,8,M. A. Chidambaram Stadium
Quinton de Kock,2013-2025,9,9,0,97,40,10.77,97,100,0,0,1,9,4,M. A. Chidambaram Stadium
Ravichandran Ashwin,2010-2025,47,14,5,95,30,10.55,90,105.55,0,0,2,8,2,M. A. Chidambaram Stadium
Sunil Narine,2012-2025,9,5,0,95,44,19,49,193.87,0,0,0,5,10,M. A. Chidambaram Stadium
Moen Ali,2019-2025,14,10,2,93,19,11.62,83,112.04,0,0,0,7,3,M. A. Chidambaram Stadium
Deepak Hooda,2015-2025,12,10,1,93,22,10.33,91,102.19,0,0,1,7,3,M. A. Chidambaram Stadium
AC Gilchrist,2008-2010,2,2,0,92,54,46,53,173.58,0,1,0,11,5,M. A. Chidambaram Stadium
Nehal Wadhera,2023-2025,3,3,0,92,64,30.66,66,139.39,0,1,0,11,3,M. A. Chidambaram Stadium
GC Smith,2008-2008,1,1,0,91,91,91,51,178.43,0,1,0,9,4,M. A. Chidambaram Stadium
DC Jurel,2023-2024,3,3,1,88,56*,44,59,149.15,0,1,0,8,4,M. A. Chidambaram Stadium
Yuvraj Singh,2008-2015,4,4,0,88,43,22,82,107.31,0,0,0,7,2,M. A. Chidambaram Stadium
SS Tiwary,2010-2012,5,5,2,86,42*,28.66,83,103.61,0,0,0,3,3,M. A. Chidambaram Stadium
V Sehwag,2008-2015,6,6,0,81,71,13.5,57,142.1,0,1,1,8,4,M. A. Chidambaram Stadium
SP Fleming,2008-2008,5,5,0,80,45,16,77,103.89,0,0,0,7,3,M. A. Chidambaram Stadium
Rinku Singh,2018-2025,5,4,1,80,54,26.66,73,109.58,0,1,0,5,4,M. A. Chidambaram Stadium
Jos Buttler,2019-2024,3,3,0,79,52,26.33,68,116.17,0,1,0,4,3,M. A. Chidambaram Stadium
Kedhar Jadhav,2011-2021,12,9,4,78,20,15.6,85,91.76,0,0,0,7,1,M. A. Chidambaram Stadium
