Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
Yuzvendra Chahal,2013-2025,169,168,615.5,4,4876,218,May-40,22.36,7.91,16.9,8,1,
,,,,,,,,,,,,,,
Bhuvneshwar Kumar,2011-2025,185,185,685.4,14,5213,193,May-19,27.01,7.6,21.3,2,2,
,,,,,,,,,,,,,,
Piyush Chawla,2008-2024,192,191,641.4,2,5108,192,Apr-17,26.6,7.96,20,2,0,
,,,,,,,,,,,,,,
Sunil Narine,2012-2025,185,184,712.1,3,4825,190,May-19,25.39,6.77,22.4,7,1,
,,,,,,,,,,,,,,
Ravichandran Ashwin,2009-2025,217,215,778,4,5592,185,Apr-34,30.22,7.18,25.2,1,0,
,,,,,,,,,,,,,,
Dwayne Bravo,2008-2022,160,158,519.5,3,4360,183,Apr-22,23.82,8.38,17,2,0,
,,,,,,,,,,,,,,
Jasprit Bumrah,2013-2025,139,139,532.5,8,3895,174,05-Oct,22.38,7.3,18.3,3,2,
,,,,,,,,,,,,,,
Amit Mishra,2008-2024,162,162,561.5,6,4145,174,May-17,23.82,7.37,19.3,4,1,
,,,,,,,,,,,,,,
Lasith Malinga,2009-2019,122,122,471.1,8,3365,170,May-13,19.79,7.14,16.6,6,1,
,,,,,,,,,,,,,,
Ravindra Jadeja,2008-2025,249,221,664,2,5084,167,May-16,30.44,7.65,23.8,3,1,
,,,,,,,,,,,,,,
Rashid Khan,2017-2025,130,130,510.3,4,3554,156,Apr-24,22.78,6.96,19.6,2,0,
,,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,163,160,569.2,6,4030,150,May-18,26.86,7.07,22.7,1,1,
,,,,,,,,,,,,,,
Harshal Patel,2012-2025,112,111,387.1,2,3393,148,May-27,22.92,8.76,15.6,4,1,
,,,,,,,,,,,,,,
Sandeep Sharma,2013-2025,136,136,506.5,8,4070,146,May-18,27.87,8.03,20.8,2,1,
,,,,,,,,,,,,,,
Umesh Yadav,2010-2024,147,147,508.2,5,4317,144,Apr-23,29.97,8.49,21.1,3,0,
,,,,,,,,,,,,,,
Trent Boult,2015-2025,113,113,425.3,11,3538,134,Apr-18,26.4,8.31,19,2,0,
,,,,,,,,,,,,,,
Mohit Sharma,2013-2025,119,118,396.3,0,3466,134,05-Oct,25.86,8.74,17.7,3,1,
,,,,,,,,,,,,,,
Mohammed Shami,2013-2025,118,118,431.2,3,3701,133,04-Nov,27.82,8.58,19.4,2,0,
,,,,,,,,,,,,,,
Axar Patel,2014-2025,160,158,547.3,2,4011,128,Apr-21,31.33,7.32,25.6,1,0,
,,,,,,,,,,,,,,
Andre Russell,2012-2025,136,118,295.2,0,2796,123,May-15,22.73,9.46,14.4,2,1,
,,,,,,,,,,,,,,
Kagiso Rabada,2017-2025,82,82,311,2,2653,119,Apr-21,22.29,8.53,15.6,6,0,
,,,,,,,,,,,,,,
A Nehra,2008-2017,88,88,318,2,2495,106,04-Oct,23.53,7.84,18,1,0,
,,,,,,,,,,,,,,
Shardul Thakur,2015-2025,104,101,341,3,3205,106,Apr-34,30.23,9.39,19.3,2,0,
,,,,,,,,,,,,,,
Mohammed Siraj,2017-2025,102,102,360.2,4,3129,105,Apr-17,29.8,8.68,20.5,3,0,
,,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,104,104,353.4,1,2966,105,Apr-40,28.24,8.38,20.2,1,0,
,,,,,,,,,,,,,,
Z Khan,2008-2017,99,99,366.4,5,2782,102,Apr-17,27.27,7.58,21.5,1,0,
,,,,,,,,,,,,,,
Jaydev Unadkat,2010-2025,108,107,363,3,3251,102,May-25,31.87,8.95,21.3,0,2,
,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2025,94,92,330,1,2651,99,Apr-14,26.77,8.03,20,4,0,
,,,,,,,,,,,,,,
DW Steyn,2008-2020,95,95,362.4,7,2508,97,03-Aug,25.85,6.91,22.4,0,0,
,,,,,,,,,,,,,,
Varun Chakaravarthy,2019-2025,80,80,303.4,1,2281,96,May-20,23.76,7.51,18.9,1,1,
,,,,,,,,,,,,,,
CH Morris,2013-2021,81,81,286.4,1,2295,95,Apr-23,24.15,8,18.1,4,0,
,,,,,,,,,,,,,,
Ishant Sharma,2008-2025,116,116,399.5,6,3342,95,05-Dec,35.17,8.35,25.2,0,1,
,,,,,,,,,,,,,,
Shane Watson,2008-2020,145,105,338.1,3,2682,92,Apr-29,29.15,7.93,22,1,0,
,,,,,,,,,,,,,,
P Kumar,2008-2017,119,119,420.4,14,3251,90,Mar-18,36.12,7.72,28,0,0,
,,,,,,,,,,,,,,
RP Singh,2008-2016,82,82,295.5,2,2338,90,Apr-22,25.97,7.9,19.7,2,0,
,,,,,,,,,,,,,,
Arshdeep Singh,2019-2025,75,74,259.4,2,2327,89,May-32,26.14,8.96,17.5,2,1,
,,,,,,,,,,,,,,
PP Ojha,2008-2015,92,90,316.3,1,2332,89,03-Nov,26.2,7.36,21.3,0,0,
,,,,,,,,,,,,,,
Krunal Pandya,2016-2025,136,127,385.4,1,2882,89,Apr-45,32.38,7.47,26,1,0,
,,,,,,,,,,,,,,
Khaleel Ahmed,2018-2025,67,67,248.2,4,2197,88,Mar-21,24.96,8.84,16.9,0,0,
,,,,,,,,,,,,,,
Dhawal Kulkarni,2008-2021,92,92,297.5,8,2474,86,Apr-14,28.76,8.3,20.7,1,0,
,,,,,,,,,,,,,,
Deepak Chahar,2016-2025,91,91,308.1,6,2502,85,Apr-13,29.43,8.11,21.7,2,0,
,,,,,,,,,,,,,,
JA Morkel,2008-2016,90,87,287.1,3,2355,85,Apr-32,27.7,8.2,20.2,1,0,
,,,,,,,,,,,,,,
Avesh Khan,2017-2025,71,71,256,1,2296,84,Apr-24,27.33,8.96,18.2,1,0,
,,,,,,,,,,,,,,
Imran Tahir,2014-2021,59,59,219.2,1,1703,82,04-Dec,20.76,7.76,16,3,0,
,,,,,,,,,,,,,,
IK Pathan,2008-2017,102,101,340.3,10,2649,80,Mar-24,33.11,7.77,25.5,0,0,
,,,,,,,,,,,,,,
Karn Sharma,2009-2025,87,84,255.1,1,2148,79,Apr-16,27.18,8.41,19.3,2,0,
,,,,,,,,,,,,,,
M Morkel,2009-2016,70,70,271.3,3,2089,77,Apr-20,27.12,7.69,21.1,1,0,
,,,,,,,,,,,,,,
L Balaji,2008-2014,73,73,252.1,2,2028,76,May-24,26.68,8.04,19.9,3,1,
,,,,,,,,,,,,,,
Hardik Pandya,2015-2025,146,102,262.2,0,2387,76,May-36,31.4,9.09,20.7,0,1,
,,,,,,,,,,,,,,
Rahul Chahar,2017-2025,79,78,278.2,1,2150,75,Apr-27,28.66,7.72,22.2,1,0,
,,,,,,,,,,,,,,
MM Patel,2008-2017,63,63,225.5,5,1698,74,May-21,22.94,7.51,18.3,2,1,
,,,,,,,,,,,,,,
Pat Cummins,2014-2025,67,67,251.3,2,2227,72,Apr-34,30.93,8.85,20.9,1,0,
,,,,,,,,,,,,,,
Ravi Bishnoi,2020-2025,75,75,271.1,1,2211,72,Mar-24,30.7,8.15,22.5,0,0,
,,,,,,,,,,,,,,
R Bhatia,2008-2017,95,91,272.4,1,2020,71,Apr-15,28.45,7.4,23,1,0,
,,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,56,56,212.2,1,1803,71,Apr-21,25.39,8.49,17.9,1,0,
,,,,,,,,,,,,,,
AB Dinda,2008-2017,77,75,252.4,3,2073,69,Apr-18,30.04,8.2,21.9,1,0,
,,,,,,,,,,,,,,
Kieron Pollard,2010-2022,189,107,248,0,2180,69,Apr-44,31.59,8.79,21.5,1,0,
,,,,,,,,,,,,,,
T Natarajan,2017-2024,61,61,222.5,2,1969,67,Apr-19,29.38,8.83,19.9,1,0,
,,,,,,,,,,,,,,
Prasidh Krishna,2018-2025,60,60,225.5,3,1976,66,Apr-30,29.93,8.74,20.5,2,0,
,,,,,,,,,,,,,,
JH Kallis,2008-2014,98,89,290.2,3,2293,65,Mar-13,35.27,7.89,26.8,0,0,
,,,,,,,,,,,,,,
Mitchell Starc,2014-2025,49,49,174.3,1,1503,65,May-35,23.12,8.61,16.1,2,1,
,,,,,,,,,,,,,,
SK Trivedi,2008-2013,76,75,251,2,1904,65,Apr-25,29.29,7.58,23.1,1,0,
,,,,,,,,,,,,,,
M Muralidaran,2008-2014,66,66,254,1,1696,63,03-Nov,26.92,6.67,24.1,0,0,
,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2021,71,70,247.2,1,1839,63,Mar-17,29.19,7.43,23.5,0,0,
,,,,,,,,,,,,,,
Mitchell Johnson,2013-2018,54,54,205.2,2,1702,61,Mar-26,27.9,8.28,20.1,0,0,
,,,,,,,,,,,,,,
Mustafizur Rahman,2016-2024,57,57,216.2,2,1762,61,Apr-29,28.88,8.14,21.2,1,0,
,,,,,,,,,,,,,,
Anrich Nortje,2020-2025,47,47,178.4,1,1597,61,Mar-33,26.18,8.93,17.5,0,0,
,,,,,,,,,,,,,,
JP Faulkner,2011-2017,60,60,204.3,4,1778,59,May-16,30.13,8.69,20.7,0,2,
,,,,,,,,,,,,,,
Jofra Archer,2018-2025,50,50,195,3,1530,58,Mar-15,26.37,7.84,20.1,0,0,
,,,,,,,,,,,,,,
Sam Curran,2019-2025,63,62,205.5,0,1999,58,04-Nov,34.46,9.71,21.2,1,0,
,,,,,,,,,,,,,,
S Kaul,2013-2022,55,55,201.3,3,1739,58,Apr-29,29.98,8.63,20.8,1,0,
,,,,,,,,,,,,,,
SK Warne,2008-2011,55,54,199,1,1447,57,Apr-21,25.38,7.27,20.9,1,0,
,,,,,,,,,,,,,,
Josh Hazlewood,2020-2025,37,37,137.2,1,1121,53,Apr-25,21.15,8.16,15.5,2,0,
,,,,,,,,,,,,,,
Jason Holder,2013-2023,46,46,165.5,0,1461,53,Apr-52,27.56,8.81,18.7,1,0,
,,,,,,,,,,,,,,
S Gopal,2014-2024,52,51,165.1,1,1349,52,Apr-16,25.94,8.16,19,1,0,
,,,,,,,,,,,,,,
Lockie Ferguson,2017-2025,49,49,170.3,1,1530,51,Apr-28,30,8.97,20,1,0,
,,,,,,,,,,,,,,
