Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MS Dhoni,2008-2025,75,65,27,1547,75*,40.71,1072,144.3,0,7,2,99,78
SK Raina,2008-2019,56,55,5,1498,100*,29.96,1107,135.32,1,8,1,140,49
M Vijay,2010-2019,30,30,2,928,127,33.14,693,133.91,2,3,1,82,40
MEK Hussey,2008-2013,22,21,3,848,95,47.11,674,125.81,0,7,0,90,14
RD Gaikwad,2023-2025,18,18,3,764,108*,50.93,539,141.74,1,6,1,79,22
F du Plessis,2012-2024,20,18,2,588,73,36.75,486,120.98,0,4,0,43,19
RA Jadeja,2011-2025,55,41,10,518,38*,16.7,430,120.46,0,0,3,31,18
S Dube,2019-2025,22,21,5,496,66,31,323,153.56,0,2,1,26,38
JA Morkel,2008-2015,31,26,9,486,73*,28.58,330,147.27,0,3,2,32,26
S Badrinath,2008-2013,39,26,8,438,64,24.33,375,116.8,0,3,1,45,7
SR Watson,2010-2019,13,13,0,433,101,33.3,296,146.28,1,2,2,40,23
DP Conway,2023-2025,10,10,2,415,92*,51.87,318,130.5,0,3,0,54,4
V Kohli,2008-2025,14,14,0,414,58,29.57,375,110.4,0,2,0,29,10
BB McCullum,2008-2015,12,12,1,378,100*,34.36,271,139.48,1,2,1,39,20
RG Sharma,2008-2025,16,16,1,364,67,24.26,298,122.14,0,2,3,28,15
AB de Villiers,2008-2021,11,11,3,353,76*,44.12,216,163.42,0,3,0,37,9
AT Rayudu,2010-2023,22,21,6,333,42*,22.2,310,107.41,0,0,2,19,14
SA Yadav,2015-2025,11,10,1,329,71*,36.55,255,129.01,0,2,0,37,8
DJ Bravo,2008-2019,37,26,11,325,33*,21.66,237,137.13,0,0,0,20,14
DA Warner,2010-2023,13,13,0,322,57,24.76,289,111.41,0,3,2,21,10
S Dhawan,2008-2023,10,10,2,299,63*,37.37,250,119.6,0,1,0,35,3
ML Hayden,2008-2010,9,9,1,283,81,35.37,203,139.4,0,2,1,29,12
PA Patel,2008-2019,11,11,0,276,57,25.09,270,102.22,0,2,0,31,4
AM Rahane,2011-2025,19,17,1,271,31,16.93,226,119.91,0,0,1,21,7
MK Pandey,2010-2023,10,10,2,265,83*,33.12,218,121.55,0,2,0,18,11
JM Bairstow,2019-2024,7,7,1,257,63*,42.83,181,141.98,0,2,1,22,15
R Ravindra,2024-2025,8,8,1,238,65*,34,152,156.57,0,1,0,20,12
KL Rahul,2015-2025,7,7,1,237,77,39.5,196,120.91,0,3,0,16,8
CH Gayle,2010-2021,8,8,1,231,89,33,158,146.2,0,2,1,20,14
N Rana,2018-2023,6,6,1,228,80,45.6,175,130.28,0,3,1,25,8
