Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
Virat Kohli,2008-2025,261.0,254,40,8447,113*,39.47,6384,132.31,8,61,10,744,285,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Rohit Sharma,2008-2025,266.0,261,30,6868,109*,29.73,5207,131.89,2,45,18,617,297,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
Shikhar Dhawan,2008-2024,222.0,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
David Warner,2009-2024,184.0,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Suresh Raina,2008-2021,204.0,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
MS Dhoni,2008-2025,272.0,239,99,5394,84*,38.52,3914,137.81,0,24,6,375,261,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
AB de Villiers,2008-2021,183.0,170,40,5162,133*,39.70,3403,151.68,3,40,10,413,251,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KL Rahul,2013-2025,141.0,132,22,5054,132*,45.94,3733,135.38,4,40,4,429,203,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Chris Gayle,2009-2021,141.0,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357,
"(Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RV Uthappa,2008-2022,204.0,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Ajinkya Rahane,2008-2025,193.0,180,18,4939,105*,30.48,3960,124.72,2,33,13,506,119,
"(Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
