Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
YS Chahal,2013-2025,169,168,615.5,4,4876,218,5/40,22.36,7.91,16.9,8,1,
"(Mumbai Indians, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
B Kumar,2011-2025,185,185,685.4,14,5213,193,5/19,27.01,7.60,21.3,2,2,
"(Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
PP Chawla,2008-2024,192,191,641.4,2,5108,192,4/17,26.60,7.96,20.0,2,0,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
SP Narine,2012-2025,185,184,712.1,3,4825,190,5/19,25.39,6.77,22.4,7,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,
R Ashwin,2009-2025,217,215,778.0,4,5592,185,4/34,30.22,7.18,25.2,1,0,
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,
DJ Bravo,2008-2022,160,158,519.5,3,4360,183,4/22,23.82,8.38,17.0,2,0,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,
JJ Bumrah,2013-2025,139,139,532.5,8,3895,174,5/10,22.38,7.30,18.3,3,2,
(Mumbai Indians),,,,,,,,,,,,,,
A Mishra,2008-2024,162,162,561.5,6,4145,174,5/17,23.82,7.37,19.3,4,1,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SL Malinga,2009-2019,122,122,471.1,8,3365,170,5/13,19.79,7.14,16.6,6,1,
(Mumbai Indians),,,,,,,,,,,,,,
RA Jadeja,2008-2025,249,221,664.0,2,5084,167,5/16,30.44,7.65,23.8,3,1,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
Rashid Khan,2017-2025,130,130,510.3,4,3554,156,4/24,22.78,6.96,19.6,2,0,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Harbhajan Singh,2008-2021,163,160,569.2,6,4030,150,5/18,26.86,7.07,22.7,1,1,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
HV Patel,2012-2025,112,111,387.1,2,3393,148,5/27,22.92,8.76,15.6,4,1,
"(Delhi Capitals, Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Sandeep Sharma,2013-2025,136,136,506.5,8,4070,146,5/18,27.87,8.03,20.8,2,1,
"(Kings XI Punjab, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
UT Yadav,2010-2024,147,147,508.2,5,4317,144,4/23,29.97,8.49,21.1,3,0,
"(Delhi Daredevils, Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
TA Boult,2015-2025,113,113,425.3,11,3538,134,4/18,26.40,8.31,19.0,2,0,
