Player Name,Role
Shaik Rasheed,Batter
Ayush Mhatre,Batter
Sam Curran,Bowling Allrounder
Ravindra Jadeja,Bowling Allrounder
Dewald Brevis,Batter
Shivam Dube,Batting Allrounder
Deepak Hooda,Batting Allrounder
MS Dhoni (C & WK),WK-Batter
Noor Ahmad,Bowler
Khaleel Ahmed,Bowler
Matheesha Pathirana,Bowler
Priyansh Arya,Batter
Shreyas Iyer (C),Batter
Josh Inglis (WK),WK-Batter
Nehal Wadhera,Batter
Shashank Singh,Batting Allrounder
Harpreet Brar,Bowler
Marco Jansen,Bowling Allrounder
Azmatullah Omarzai,Bowling Allrounder
Suryansh Shedge,Batting Allrounder
Yuzvendra Chahal,Bowler
Arshdeep Singh,Bowler
Anshul Kamboj,Bowling Allrounder
Ravichandran Ashwin,Bowling Allrounder
Jamie Overton,Bowler
Kamlesh Nagarkoti,Bowler
Ramakrishna Ghosh,Batting Allrounder
Prabhsimran Singh,WK-Batter
Xavier Bartlett,Bowler
Praveen Dubey,Bowling Allrounder
Musheer Khan,Batting Allrounder
Vijaykumar Vyshak,Bowler
