Player Name,Role
Faf du Plessis,Batter
Abishek Porel,WK-Batter
Karun Nair,Batter
KL Rahul,WK-Batter
Axar Patel,Bowling Allrounder
Tristan Stubbs,WK-Batter
Vipraj Nigam,Bowler
Mitchell Starc,Bowler
Kuldeep Yadav,Bowler
Dushmantha Chameera,Bowler
Mukesh Kumar,Bowler
Rahmanullah Gurbaz,WK-Batter
Sunil Narine,Bowling Allrounder
Ajinkya Rahane,Batter
Venkatesh Iyer,Batting Allrounder
Rinku Singh,Batter
Angkrish Raghuvanshi,Batter
Andre Russell,Bowling Allrounder
Rovman Powell,Batter
Harshit Rana,Bowler
Anukul Roy,Batting Allrounder
Varun Chakaravarthy,Bowler
Sameer Rizvi,Batter
Ashutosh Sharma,Batting Allrounder
Jake Fraser-McGurk,Batter
Tripurana Vijay,Batting Allrounder
Donovan Ferreira,WK-Batter
Manish Pandey,Batter
Mayank Markande,Bowler
Vaibhav Arora,Bowler
Ramandeep Singh,Batting Allrounder
Luvnith Sisodia,WK-Batter
