Player Name,Role
Player Name,Role
Yashasvi Jaiswal,Batter
Vaibhav Suryavanshi,Batter
Nitish Rana,Batter
Riyan Parag,Batting Allrounder
Dhruv Jurel,WK-Batter
Shimron Hetmyer,Batter
Jofra Archer,Bowler
Maheesh Theekshana,Bowler
Kumar Kartikeya,Bowler
Akash Madhwal,Bowler
Fazalhaq Farooqi,Bowler
Ryan Rickelton,WK-Batter
Rohit Sharma,Batter
Will Jacks,Batting Allrounder
Suryakumar Yadav,Batter
Tilak Varma,Batter
Hardik Pandya,Batting Allrounder
Naman Dhir,Batter
Corbin Bosch,Bowling Allrounder
Deepak Chahar,Bowler
Trent Boult,Bowler
Jasprit Bumrah,Bowler
Yudhvir Singh Charak,Bowler
Shubham Dubey,Batter
Tushar Deshpande,Bowler
Kunal Singh Rathore,WK-Batter
Kwena Maphaka,Bowler
Karn Sharma,Bowler
Raj Bawa,Batting Allrounder
Satyanarayana Raju,Bowler
Robin Minz,WK-Batter
Reece Topley,Bowler
