Player Name,Role
Yashasvi Jaiswal,Batter
Vaibhav Suryavanshi,Batter
Nitish Rana,Batter
Riyan Parag,Batting Allrounder
Dhruv Jurel,WK-Batter
Shimron Hetmyer,Batter
Wanindu Hasaranga,Bowling Allrounder
Jofra Archer,Bowler
Maheesh Theekshana,Bowler
Sandeep Sharma,Bowler
Yudhvir Singh Charak,Bowling Allrounder
Sai Sudharsan,Batter
Shubman Gill,Batter
Jos Buttler,WK-Batter
Washington Sundar,Bowling Allrounder
Shahrukh Khan,Batting Allrounder
Rahul Tewatia,Batting Allrounder
Karim Janat,Bowling Allrounder
Rashid Khan,Bowling Allrounder
Ravisrinivasan Sai Kishore,Bowling Allrounder
Mohammed Siraj,Bowler
Prasidh Krishna,Bowler
Shubham Dubey,Batter
Kumar Kartikeya,Bowler
Tushar Deshpande,Bowler
Akash Madhwal,Bowler
Kunal Singh Rathore,WK-Batter
Ishant Sharma,Bowler
Mahipal Lomror,Batting Allrounder
Anuj Rawat,WK-Batter
Arshad Khan,Bowling Allrounder
Dasun Shanaka,Batting Allrounder
