Player Name,Role,Venue,Toss Winner
Yashasvi Jaiswal,Batter,Sawai Mansingh Stadium,PBKS
Vaibhav Suryavanshi,Batter,Sawai Mansingh Stadium,PBKS
Sanju Samson,WK-Batter,Sawai Mansingh Stadium,PBKS
Riyan Parag,Batting Allrounder,Sawai Mansingh Stadium,PBKS
Shimron Hetmyer,Batter,Sawai Mansingh Stadium,PBKS
Dhruv Jurel,WK-Batter,Sawai Mansingh Stadium,PBKS
Wanindu Hasaranga,Bowling Allrounder,Sawai Mansingh Stadium,PBKS
Kwena Maphaka,Bowler,Sawai Mansingh Stadium,PBKS
Tushar Deshpande,Bowler,Sawai Mansingh Stadium,PBKS
Akash Madhwal,Bowler,Sawai Mansingh Stadium,PBKS
Fazalhaq Farooqi,Bowler,Sawai Mansingh Stadium,PBKS
Priyansh Arya,Batter,Sawai Mansingh Stadium,PBKS
Prabhsimran Singh,WK-Batter,Sawai Mansingh Stadium,PBKS
Shreyas Iyer,Batter,Sawai Mansingh Stadium,PBKS
Shashank Singh,Batting Allrounder,Sawai Mansingh Stadium,PBKS
Nehal Wadhera,Batter,Sawai Mansingh Stadium,PBKS
Mitchell Owen,Batting Allrounder,Sawai Mansingh Stadium,PBKS
Azmatullah Omarzai,Bowling Allrounder,Sawai Mansingh Stadium,PBKS
Marco Jansen,Bowling Allrounder,Sawai Mansingh Stadium,PBKS
Xavier Bartlett,Bowler,Sawai Mansingh Stadium,PBKS
Arshdeep Singh,Bowler,Sawai Mansingh Stadium,PBKS
Yuzvendra Chahal,Bowler,Sawai Mansingh Stadium,PBKS
Shubham Dubey,Batter,Sawai Mansingh Stadium,PBKS
Yudhvir Singh Charak,Bowler,Sawai Mansingh Stadium,PBKS
Kumar Kartikeya,Bowler,Sawai Mansingh Stadium,PBKS
Ashok Sharma,Bowler,Sawai Mansingh Stadium,PBKS
Harpreet Brar,Bowler,Sawai Mansingh Stadium,PBKS
Praveen Dubey,Bowling Allrounder,Sawai Mansingh Stadium,PBKS
Suryansh Shedge,Batting Allrounder,Sawai Mansingh Stadium,PBKS
Vijaykumar Vyshak,Bowler,Sawai Mansingh Stadium,PBKS

