,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MS Dhoni,2008-2025,75,65,27,1547,75*,40.71,1072,144.3,0,7,2,99,78
(Chennai Super Kings),,,,,,,,,,,,,,
SK Raina,2008-2019,56,55,5,1498,100*,29.96,1107,135.32,1,8,1,140,49
(Chennai Super Kings),,,,,,,,,,,,,,
M Vijay,2010-2019,30,30,2,928,127,33.14,693,133.91,2,3,1,82,40
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,
MEK Hussey,2008-2013,22,21,3,848,95,47.11,674,125.81,0,7,0,90,14
(Chennai Super Kings),,,,,,,,,,,,,,
RD Gaikwad,2023-2025,18,18,3,764,108*,50.93,539,141.74,1,6,1,79,22
(Chennai Super Kings),,,,,,,,,,,,,,
F du Plessis,2012-2024,20,18,2,588,73,36.75,486,120.98,0,4,0,43,19
"(Chennai Super Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
RA Jadeja,2011-2025,55,41,10,518,38*,16.7,430,120.46,0,0,3,31,18
"(Chennai Super Kings, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
S Dube,2019-2025,22,21,5,496,66,31,323,153.56,0,2,1,26,38
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JA Morkel,2008-2015,31,26,9,486,73*,28.58,330,147.27,0,3,2,32,26
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
S Badrinath,2008-2013,39,26,8,438,64,24.33,375,116.8,0,3,1,45,7
(Chennai Super Kings),,,,,,,,,,,,,,
SR Watson,2010-2019,13,13,0,433,101,33.3,296,146.28,1,2,2,40,23
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
DP Conway,2023-2025,10,10,2,415,92*,51.87,318,130.5,0,3,0,54,4
(Chennai Super Kings),,,,,,,,,,,,,,
V Kohli,2008-2025,14,14,0,414,58,29.57,375,110.4,0,2,0,29,10
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
BB McCullum,2008-2015,12,12,1,378,100*,34.36,271,139.48,1,2,1,39,20
"(Chennai Super Kings, Kochi Tuskers Kerala, Kolkata Knight Riders)",,,,,,,,,,,,,,
RG Sharma,2008-2025,16,16,1,364,67,24.26,298,122.14,0,2,3,28,15
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
AB de Villiers,2008-2021,11,11,3,353,76*,44.12,216,163.42,0,3,0,37,9
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AT Rayudu,2010-2023,22,21,6,333,42*,22.2,310,107.41,0,0,2,19,14
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
SA Yadav,2015-2025,11,10,1,329,71*,36.55,255,129.01,0,2,0,37,8
