Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
AM Rahane,2011-2023,37,35,6,1115,105*,38.44,911,122.39,1,7,1,127,15,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
SR Watson,2008-2019,30,29,6,875,98*,38.04,625,140.00,0,5,2,87,41,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
JC Buttler,2018-2025,21,21,4,819,100*,48.17,576,142.18,1,6,1,91,23,
"(Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,,
SV Samson,2013-2025,28,27,6,804,82*,38.28,574,140.06,0,6,3,69,27,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Dravid,2008-2013,25,24,2,735,75*,33.40,616,119.31,0,5,0,94,13,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YBK Jaiswal,2023-2025,13,13,2,546,104*,49.63,348,156.89,1,4,2,60,25,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Parag,2019-2025,14,12,3,390,84*,43.33,253,154.15,0,2,0,29,21,
(Rajasthan Royals),,,,,,,,,,,,,,,
V Kohli,2008-2025,10,10,3,324,113*,46.28,275,117.81,1,1,0,30,7,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SPD Smith,2012-2019,8,8,2,314,73*,52.33,255,123.13,0,3,0,32,4,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
BJ Hodge,2008-2013,17,15,4,304,48*,27.63,221,137.55,0,0,0,23,10,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
STR Binny,2011-2019,22,15,7,248,41*,31.00,167,148.50,0,0,1,21,10,
(Rajasthan Royals),,,,,,,,,,,,,,,
RA Tripathi,2018-2023,10,10,3,221,80*,31.57,169,130.76,0,1,0,14,8,
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
YK Pathan,2008-2018,14,12,1,207,68,18.81,146,141.78,0,2,1,19,9,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Shubman Gill,2018-2025,5,4,1,198,84,66.00,139,142.44,0,2,0,17,6,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RV Uthappa,2008-2019,7,7,1,198,54,33.00,149,132.88,0,1,0,25,6,
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KL Rahul,2018-2024,4,4,1,196,95*,65.33,150,130.66,0,2,0,20,5,
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,,
J Botha,2011-2012,12,10,4,188,45,31.33,177,106.21,0,0,0,12,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
CH Gayle,2011-2019,5,5,1,188,79,47.00,116,162.06,0,2,0,20,9,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,5,5,2,185,89*,61.66,154,120.12,0,2,0,19,2,
(Mumbai Indians),,,,,,,,,,,,,,,
AL Menaria,2011-2012,14,12,2,183,40,18.30,155,118.06,0,0,1,11,10,
