Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Shubman Gill,2021-2025,22,22,3,1033,129,54.36,647,159.65,3,4,0,90,41,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
B Sai Sudharsan,2023-2025,16,16,1,858,103,57.20,547,156.85,1,6,0,77,35,
(Gujarat Titans),,,,,,,,,,,,,,,
JC Buttler,2022-2025,7,7,2,371,106*,74.20,236,157.20,1,2,1,40,13,
"(Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,,
AM Rahane,2014-2024,9,9,1,336,76*,42.00,253,132.80,0,3,1,31,9,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
DA Miller,2015-2024,15,13,6,308,54,44.00,198,155.55,0,1,1,20,16,
"(Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,,
WP Saha,2010-2024,17,17,1,290,81,18.12,222,130.63,0,2,2,37,9,
"(Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
SV Samson,2014-2025,13,12,1,276,60,25.09,207,133.33,0,1,0,20,15,
(Rajasthan Royals),,,,,,,,,,,,,,,
HH Pandya,2022-2025,11,11,3,246,59*,30.75,194,126.80,0,1,0,20,9,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
V Kohli,2015-2024,6,6,2,219,70*,54.75,167,131.13,0,2,0,15,9,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SO Hetmyer,2021-2025,8,8,5,216,56*,72.00,117,184.61,0,3,0,14,15,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
KK Nair,2014-2025,9,8,1,196,48,28.00,128,153.12,0,0,0,16,9,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
SR Watson,2014-2015,6,6,0,191,73,31.83,140,136.42,0,1,0,19,9,
(Rajasthan Royals),,,,,,,,,,,,,,,
SPD Smith,2014-2021,10,8,1,169,79*,24.14,151,111.92,0,1,1,12,1,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
MA Agarwal,2014-2024,4,4,1,163,99*,54.33,119,136.97,0,1,0,14,6,
"(Delhi Daredevils, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NV Ojha,2010-2014,5,5,0,162,80,32.40,117,138.46,0,1,0,17,7,
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KL Rahul,2014-2025,4,4,1,156,91*,52.00,109,143.11,0,1,0,15,7,
"(Delhi Capitals, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Dhawan,2014-2024,5,5,1,155,69*,38.75,123,126.01,0,1,0,18,3,
"(Delhi Capitals, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SS Iyer,2024-2025,2,2,2,155,97*,-,66,234.84,0,2,0,10,13,
"(Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,,
R Tewatia,2014-2025,22,12,6,155,24*,25.83,85,182.35,0,0,1,10,13,
"(Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,,
RM Patidar,2021-2024,5,4,0,154,58,38.50,116,132.75,0,1,0,8,8,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
RG Sharma,2010-2025,7,7,0,150,49,21.42,107,140.18,0,0,1,15,8,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
PP Shaw,2021-2024,4,4,0,149,82,37.25,87,171.26,0,1,0,18,6,
