Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
V Kohli,2008-2025,92,90,11,3140,113,39.74,2197,142.92,4,23,5,287,132,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AB de Villiers,2008-2019,60,58,13,1960,129*,43.55,1216,161.18,1,15,2,155,118,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CH Gayle,2010-2019,44,44,6,1561,175*,41.07,976,159.93,3,8,3,121,127,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
F du Plessis,2014-2025,18,18,3,653,79*,43.53,409,159.65,0,8,0,63,35,
"(Chennai Super Kings, Delhi Capitals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KD Karthik,2008-2024,33,30,3,505,83,18.70,340,148.52,0,2,4,41,24,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MS Dhoni,2008-2024,12,12,6,489,84*,81.50,270,181.11,0,5,0,38,33,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
KL Rahul,2013-2025,18,15,4,475,93*,43.18,330,143.93,0,3,1,40,22,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Q de Kock,2014-2024,11,11,0,465,108,42.27,318,146.22,1,3,0,52,19,
"(Delhi Daredevils, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Mandeep Singh,2012-2019,22,19,4,413,52,27.53,299,138.12,0,1,3,38,15,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MK Pandey,2008-2023,15,13,3,402,94,40.20,313,128.43,0,3,0,39,14,
"(Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RV Uthappa,2008-2019,18,17,4,401,69,30.84,261,153.63,0,4,1,39,22,
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AT Rayudu,2010-2023,11,11,2,394,82,43.77,303,130.03,0,3,1,29,20,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
JH Kallis,2008-2013,16,16,2,388,89*,27.71,317,122.39,0,2,1,47,10,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
GJ Maxwell,2012-2024,18,18,1,354,77,20.82,207,171.01,0,3,2,23,28,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AM Rahane,2012-2024,9,8,1,351,103*,50.14,230,152.60,1,1,0,42,12,
"(Chennai Super Kings, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
DA Warner,2010-2024,9,9,0,350,69,38.88,216,162.03,0,4,0,34,19,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,14,14,1,345,83,26.53,220,156.81,0,2,0,23,26,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
TM Dilshan,2008-2013,11,11,2,326,71,36.22,299,109.03,0,3,1,40,6,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
BB McCullum,2008-2018,11,11,1,323,158*,32.30,212,152.35,1,0,1,30,19,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PA Patel,2008-2019,21,20,1,308,53,16.21,261,118.00,0,1,1,37,8,
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
G Gambhir,2008-2018,11,11,1,302,64,30.20,239,126.35,0,2,0,36,5,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
S Dhawan,2008-2024,10,10,3,286,73*,40.85,243,117.69,0,2,1,29,8,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Dravid,2008-2013,16,14,0,283,66,20.21,248,114.11,0,2,2,30,6,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KM Jadhav,2010-2019,13,13,4,283,69,31.44,192,147.39,0,2,1,25,11,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SR Watson,2008-2019,17,17,2,271,61*,18.06,203,133.49,0,1,1,28,14,
"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MA Agarwal,2011-2019,15,14,1,270,64*,20.76,188,143.61,0,1,1,25,17,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
WP Saha,2008-2024,11,10,1,258,115*,28.66,195,132.30,1,0,0,24,12,
"(Chennai Super Kings, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SS Tiwary,2010-2016,18,15,6,243,52,27.00,215,113.02,0,1,0,21,8,
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RG Sharma,2008-2023,13,12,0,235,57,19.58,193,121.76,0,1,2,23,9,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
KA Pollard,2010-2019,11,10,4,230,70,38.33,154,149.35,0,2,0,16,14,
(Mumbai Indians),,,,,,,,,,,,,,,
