Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
DA Warner,2010-2024,36,36,4,1048,107*,32.75,823,127.33,1,9,2,119,31,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RR Pant,2016-2024,29,29,3,978,128*,37.61,611,160.06,1,6,2,82,58,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
V Sehwag,2008-2015,33,33,2,933,95*,30.09,563,165.71,0,7,2,116,38,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
SS Iyer,2015-2019,29,29,3,855,93*,32.88,673,127.04,0,7,2,59,42,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
S Dhawan,2008-2023,22,22,3,726,92*,38.21,554,131.04,0,8,1,83,19,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
G Gambhir,2008-2018,20,19,1,672,86,37.33,501,134.13,0,6,0,76,11,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
KD Karthik,2008-2023,29,25,2,647,69,28.13,477,135.63,0,6,1,58,27,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AR Patel,2014-2025,26,26,10,570,66,35.62,397,143.57,0,2,0,41,32,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
SV Samson,2013-2025,21,21,1,544,86,27.20,417,130.45,0,3,2,45,25,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
V Kohli,2008-2025,11,11,3,534,99,66.75,379,140.89,0,7,0,55,14,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KK Nair,2014-2025,19,18,1,532,89,31.29,382,139.26,0,4,2,71,11,
"(Delhi Capitals, Delhi Daredevils, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
RG Sharma,2008-2025,16,16,1,454,73,30.26,338,134.31,0,3,0,39,19,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
PP Shaw,2018-2024,20,20,0,431,99,21.55,299,144.14,0,2,0,59,11,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
JP Duminy,2012-2016,15,13,5,403,78*,50.37,323,124.76,0,1,0,23,16,
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,17,17,3,389,59,27.78,333,116.81,0,3,0,47,6,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
SK Raina,2008-2021,13,13,4,370,82*,41.11,259,142.85,0,2,0,32,16,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
CH Gayle,2010-2019,7,7,2,367,128*,73.40,219,167.57,1,2,0,29,28,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KP Pietersen,2010-2014,11,11,3,353,103*,44.12,242,145.86,1,1,1,30,21,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Abishek Porel,2023-2025,11,10,0,336,65,33.60,207,162.31,0,2,0,33,15,
(Delhi Capitals),,,,,,,,,,,,,,,
Q de Kock,2014-2024,12,12,2,312,70*,31.20,246,126.82,0,2,0,36,9,
"(Delhi Daredevils, Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
AT Rayudu,2010-2023,12,10,2,309,72*,38.62,197,156.85,0,3,0,25,18,
