Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
G Gambhir,2008-2018,47,47,5,1407,93,33.50,1104,127.44,0,11,2,165,26,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RV Uthappa,2008-2019,41,40,4,1159,83*,32.19,890,130.22,0,8,1,124,33,
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AD Russell,2013-2025,48,40,9,989,80*,31.90,527,187.66,0,5,1,70,85,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
YK Pathan,2008-2019,49,41,16,861,72,34.44,570,151.05,0,3,3,67,45,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Rana,2018-2024,24,23,1,680,85*,30.90,489,139.05,0,6,0,63,36,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SP Narine,2012-2025,64,40,3,661,109,17.86,401,164.83,1,2,6,85,38,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KD Karthik,2010-2024,28,27,8,655,97*,34.47,466,140.55,0,3,0,73,19,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MK Pandey,2008-2019,29,28,5,591,52,25.69,492,120.12,0,2,3,50,18,
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JH Kallis,2010-2013,21,21,3,577,79,32.05,514,112.25,0,4,2,59,12,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CH Gayle,2010-2019,12,12,2,560,102*,56.00,349,160.45,1,4,1,50,42,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SC Ganguly,2008-2012,15,15,2,532,88,40.92,447,119.01,0,4,0,55,21,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
