Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
DA Warner,2012-2023,32,32,7,1623,126,64.92,1011,160.53,3,15,1,151,72,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Dhawan,2008-2023,47,47,7,1477,99*,36.92,1189,124.22,0,10,0,166,33,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
H Klaasen,2023-2025,17,15,4,614,104,55.81,336,182.73,1,2,0,50,34,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
RG Sharma,2008-2025,19,19,4,590,76*,39.33,411,143.55,0,5,0,62,24,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
Abhishek Sharma,2019-2025,19,19,2,521,141,30.64,255,204.31,1,3,1,51,37,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
KS Williamson,2016-2019,18,18,3,508,89,33.86,367,138.41,0,4,1,41,18,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
V Kohli,2008-2024,11,11,1,486,100,48.60,363,133.88,1,3,0,43,19,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
TM Head,2017-2025,12,12,1,459,89*,41.72,253,181.42,0,5,2,54,24,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MC Henriques,2013-2017,21,19,4,409,57,27.26,324,126.23,0,3,2,39,12,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JM Bairstow,2019-2019,6,6,2,357,114,89.25,212,168.39,1,2,0,36,16,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SV Samson,2013-2025,8,8,2,353,102*,58.83,235,150.21,1,2,1,28,16,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
MK Pandey,2011-2023,17,15,1,352,54,25.14,327,107.64,0,1,1,25,6,
"(Delhi Capitals, Kolkata Knight Riders, Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
YK Pathan,2008-2019,18,15,8,351,61,50.14,229,153.27,0,1,1,20,22,
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
NV Ojha,2011-2018,25,18,5,343,79*,26.38,257,133.46,0,2,1,17,23,
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PA Patel,2008-2019,18,18,3,314,51*,20.93,276,113.76,0,1,0,42,3,
"(Chennai Super Kings, Deccan Chargers, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AT Rayudu,2011-2019,9,8,2,280,79,46.66,207,135.26,0,3,0,26,8,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
