Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
KL Rahul,2023-2025,13,13,2,540,82,49.09,411,131.38,0,5,0,55,13,
"(Delhi Capitals, Lucknow Super Giants)",,,,,,,,,,,,,,,
A Badoni,2023-2025,19,16,5,373,59*,33.90,260,143.46,0,2,0,27,14,
(Lucknow Super Giants),,,,,,,,,,,,,,,
N Pooran,2023-2025,19,19,5,351,61,25.07,254,138.18,0,1,2,23,23,
(Lucknow Super Giants),,,,,,,,,,,,,,,
MP Stoinis,2023-2025,15,14,3,336,89*,30.54,247,136.03,0,3,2,24,20,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
KH Pandya,2023-2024,14,13,6,222,49*,31.71,176,126.13,0,0,1,17,6,
(Lucknow Super Giants),,,,,,,,,,,,,,,
AK Markram,2023-2025,6,6,0,197,58,32.83,127,155.11,0,3,1,18,9,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Q de Kock,2023-2024,6,6,0,157,54,26.16,116,135.34,0,2,0,16,6,
(Lucknow Super Giants),,,,,,,,,,,,,,,
KR Mayers,2023-2023,6,6,0,153,73,25.50,113,135.39,0,1,1,9,11,
(Lucknow Super Giants),,,,,,,,,,,,,,,
MR Marsh,2023-2025,5,5,0,135,60,27.00,94,143.61,0,1,2,14,5,
"(Delhi Capitals, Lucknow Super Giants)",,,,,,,,,,,,,,,
RR Pant,2024-2025,6,6,0,129,63,21.50,104,124.03,0,1,1,12,6,
"(Delhi Capitals, Lucknow Super Giants)",,,,,,,,,,,,,,,
DJ Hooda,2023-2024,11,10,0,117,50,11.70,105,111.42,0,1,0,10,1,
(Lucknow Super Giants),,,,,,,,,,,,,,,
N Wadhera,2023-2025,3,3,1,105,46,52.50,86,122.09,0,0,0,9,6,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
HH Pandya,2023-2025,3,3,1,94,66,47.00,67,140.29,0,1,1,4,5,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
Prabhsimran Singh,2023-2025,3,3,0,92,69,30.66,45,204.44,0,1,0,11,5,
(Punjab Kings),,,,,,,,,,,,,,,
Ishan Kishan,2023-2024,2,2,0,91,59,45.50,75,121.33,0,1,0,11,1,
(Mumbai Indians),,,,,,,,,,,,,,,
B Sai Sudharsan,2024-2025,2,2,0,87,56,43.50,60,145.00,0,1,0,11,1,
(Gujarat Titans),,,,,,,,,,,,,,,
SA Yadav,2023-2025,3,3,0,84,67,28.00,58,144.82,0,1,0,9,2,
(Mumbai Indians),,,,,,,,,,,,,,,
SP Narine,2024-2024,1,1,0,81,81,81.00,39,207.69,0,1,0,6,7,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
