Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Shashank Singh,9,9,4,215,52*,43.00,171,125.73,0,1,1,13,8,
(Punjab Kings),,,,,,,,,,,,,,
Prabhsimran Singh,9,9,0,155,35,17.22,109,142.20,0,0,2,19,7,
(Punjab Kings),,,,,,,,,,,,,,
P Arya,4,4,0,147,103,36.75,70,210.00,1,0,1,13,11,
(Punjab Kings),,,,,,,,,,,,,,
AR Sharma,4,4,1,128,61,42.66,67,191.04,0,1,0,6,12,
(Punjab Kings),,,,,,,,,,,,,,
SM Curran,5,5,0,124,63,24.80,105,118.09,0,1,0,11,3,
(Punjab Kings),,,,,,,,,,,,,,
YBK Jaiswal,2,2,0,106,67,53.00,73,145.20,0,1,0,7,5,
(Rajasthan Royals),,,,,,,,,,,,,,
JM Sharma,6,6,1,90,29,18.00,73,123.28,0,0,0,4,5,
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
N Wadhera,4,4,0,86,62,21.50,63,136.50,0,1,0,6,4,
(Punjab Kings),,,,,,,,,,,,,,
SA Yadav,1,1,0,78,78,78.00,53,147.16,0,1,0,7,3,
(Mumbai Indians),,,,,,,,,,,,,,
V Kohli,1,1,1,73,73*,-,54,135.18,0,1,0,7,1,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
DP Conway,1,1,0,69,69,69.00,49,140.81,0,1,0,6,2,
(Chennai Super Kings),,,,,,,,,,,,,,
LS Livingstone,4,4,1,66,38*,22.00,46,143.47,0,0,0,5,4,
(Punjab Kings),,,,,,,,,,,,,,
R Parag,2,2,1,66,43*,66.00,43,153.48,0,0,0,4,4,
(Rajasthan Royals),,,,,,,,,,,,,,
K Nitish Kumar Reddy,1,1,0,64,64,64.00,37,172.97,0,1,0,4,5,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Jansen,4,4,2,63,34*,31.50,47,134.04,0,0,0,2,4,
(Punjab Kings),,,,,,,,,,,,,,
D Padikkal,1,1,0,61,61,61.00,35,174.28,0,1,0,5,4,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
SV Samson,2,2,0,56,38,28.00,40,140.00,0,0,0,7,1,
(Rajasthan Royals),,,,,,,,,,,,,,
Harpreet Brar,6,4,2,55,29,27.50,37,148.64,0,0,0,6,2,
(Punjab Kings),,,,,,,,,,,,,,
SO Hetmyer,2,2,1,47,27*,47.00,22,213.63,0,0,0,3,4,
(Rajasthan Royals),,,,,,,,,,,,,,
S Dube,1,1,0,42,42,42.00,27,155.55,0,0,0,3,2,
