Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
RG Sharma,2011-2025,85,84,13,2439,105*,34.35,1765,138.18,1,17,5,224,110,
(Mumbai Indians),,,,,,,,,,,,,,,
SA Yadav,2012-2025,37,37,6,1286,103*,41.48,776,165.72,2,10,5,147,57,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
KA Pollard,2011-2022,60,57,15,1226,83,29.19,787,155.78,0,7,2,78,85,
(Mumbai Indians),,,,,,,,,,,,,,,
AT Rayudu,2011-2023,55,52,7,1008,78,22.40,784,128.57,0,6,7,91,43,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
KD Karthik,2008-2024,32,31,8,855,86,37.17,602,142.02,0,3,1,92,30,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
HH Pandya,2015-2025,47,42,14,768,62*,27.42,511,150.29,0,2,1,67,41,
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
JC Buttler,2016-2024,24,24,2,759,116,34.50,526,144.29,1,3,1,74,41,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,23,23,2,726,100*,34.57,604,120.19,1,3,1,94,10,
(Mumbai Indians),,,,,,,,,,,,,,,
F du Plessis,2012-2024,19,19,4,701,95*,46.73,523,134.03,0,6,2,66,25,
"(Chennai Super Kings, Rising Pune Supergiants, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Ishan Kishan,2017-2025,31,29,0,659,69,22.72,453,145.47,0,2,2,66,34,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Kohli,2008-2025,19,19,5,641,92*,45.78,464,138.14,0,6,1,52,25,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
KL Rahul,2015-2024,12,12,2,634,103*,63.40,429,147.78,2,5,2,52,31,
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Dhawan,2008-2022,17,17,2,625,92,41.66,479,130.48,0,4,1,68,16,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SK Raina,2008-2021,21,20,3,577,87,33.94,388,148.71,0,4,1,51,33,
"(Chennai Super Kings, Gujarat Lions)",,,,,,,,,,,,,,,
SV Samson,2013-2024,18,18,2,577,119,36.06,393,146.81,1,3,0,60,24,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
PA Patel,2008-2019,24,23,1,518,52,23.54,406,127.58,0,2,3,70,9,
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AM Rahane,2011-2025,17,14,1,435,66*,33.46,320,135.93,0,3,0,52,13,
"(Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
N Rana,2017-2023,16,16,1,417,57,27.80,336,124.10,0,3,1,33,19,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
MS Dhoni,2008-2025,29,24,8,416,50*,26.00,347,119.88,0,1,2,33,20,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
KH Pandya,2016-2025,29,25,8,408,42,24.00,292,139.72,0,0,0,42,13,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LMP Simmons,2014-2017,13,13,1,398,68*,33.16,331,120.24,0,4,1,36,18,
(Mumbai Indians),,,,,,,,,,,,,,,
DA Miller,2012-2025,16,16,3,395,62,30.38,301,131.22,0,2,1,31,16,
"(Gujarat Titans, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
NT Tilak Varma,2022-2025,19,17,5,394,56,32.83,306,128.75,0,1,0,38,12,
(Mumbai Indians),,,,,,,,,,,,,,,
Q de Kock,2018-2025,13,13,1,374,81,31.16,283,132.15,0,2,0,33,16,
"(Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RR Pant,2017-2025,13,13,2,374,78*,34.00,229,163.31,0,2,1,43,16,
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants)",,,,,,,,,,,,,,,
